GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON
Shot Chart Detail,1021400002,11,203416,Emma Meesseman,1611661322,Washington Mystics,1,8,45,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,15.0,75.0,132.0,1,1,20140516,WAS,MIN,2014-15
Shot Chart Detail,1021400002,57,203416,Emma Meesseman,1611661322,Washington Mystics,1,5,6,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17.0,-125.0,124.0,1,0,20140516,WAS,MIN,2014-15
Shot Chart Detail,1021400002,170,203416,Emma Meesseman,1611661322,Washington Mystics,2,6,7,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,-27.0,4.0,1,0,20140516,WAS,MIN,2014-15
Shot Chart Detail,1021400002,186,203416,Emma Meesseman,1611661322,Washington Mystics,2,5,24,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5.0,24.0,52.0,1,0,20140516,WAS,MIN,2014-15
Shot Chart Detail,1021400002,190,203416,Emma Meesseman,1611661322,Washington Mystics,2,4,48,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,9.0,0.0,1,1,20140516,WAS,MIN,2014-15
Shot Chart Detail,1021400002,214,203416,Emma Meesseman,1611661322,Washington Mystics,2,2,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13.0,124.0,52.0,1,1,20140516,WAS,MIN,2014-15
Shot Chart Detail,1021400002,255,203416,Emma Meesseman,1611661322,Washington Mystics,3,8,19,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16.0,77.0,151.0,1,0,20140516,WAS,MIN,2014-15
Shot Chart Detail,1021400002,323,203416,Emma Meesseman,1611661322,Washington Mystics,3,3,20,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13.0,118.0,74.0,1,1,20140516,WAS,MIN,2014-15
Shot Chart Detail,1021400002,408,203416,Emma Meesseman,1611661322,Washington Mystics,4,4,49,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12.0,84.0,94.0,1,0,20140516,WAS,MIN,2014-15
Shot Chart Detail,1021400002,441,203416,Emma Meesseman,1611661322,Washington Mystics,4,0,21,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11.0,-68.0,88.0,1,0,20140516,WAS,MIN,2014-15
