GRID_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,FGA,FGM,FG_PCT,SEASON
League Averages,Above the Break 3,Back Court(BC),Back Court Shot,9,0,0.0,2025-26
League Averages,Above the Break 3,Center(C),24+ ft.,2085,692,0.332,2025-26
League Averages,Above the Break 3,Center(C),16-24 ft.,232,82,0.353,2025-26
League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,3741,1258,0.336,2025-26
League Averages,Above the Break 3,Left Side Center(LC),16-24 ft.,407,134,0.329,2025-26
League Averages,Above the Break 3,Left Side(L),16-24 ft.,283,102,0.36,2025-26
League Averages,Above the Break 3,Left Side(L),24+ ft.,566,200,0.353,2025-26
League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,3559,1149,0.323,2025-26
League Averages,Above the Break 3,Right Side Center(RC),16-24 ft.,253,88,0.348,2025-26
League Averages,Above the Break 3,Right Side(R),16-24 ft.,283,112,0.396,2025-26
League Averages,Above the Break 3,Right Side(R),24+ ft.,556,197,0.354,2025-26
League Averages,Backcourt,Back Court(BC),Back Court Shot,92,0,0.0,2025-26
League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,2000,829,0.415,2025-26
League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6084,2482,0.408,2025-26
League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,385,135,0.351,2025-26
League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,339,126,0.372,2025-26
League Averages,Left Corner 3,Left Side(L),24+ ft.,1032,378,0.366,2025-26
League Averages,Left Corner 3,Left Side(L),16-24 ft.,11,4,0.364,2025-26
League Averages,Mid-Range,Center(C),8-16 ft.,363,152,0.419,2025-26
League Averages,Mid-Range,Center(C),16-24 ft.,942,366,0.389,2025-26
League Averages,Mid-Range,Left Side Center(LC),16-24 ft.,678,257,0.379,2025-26
League Averages,Mid-Range,Left Side(L),16-24 ft.,313,113,0.361,2025-26
League Averages,Mid-Range,Left Side(L),8-16 ft.,1105,410,0.371,2025-26
League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,632,239,0.378,2025-26
League Averages,Mid-Range,Right Side(R),8-16 ft.,998,378,0.379,2025-26
League Averages,Mid-Range,Right Side(R),16-24 ft.,291,129,0.443,2025-26
League Averages,Restricted Area,Center(C),Less Than 8 ft.,10549,6629,0.628,2025-26
League Averages,Right Corner 3,Right Side(R),24+ ft.,744,284,0.382,2025-26
League Averages,Right Corner 3,Right Side(R),16-24 ft.,3,1,0.333,2025-26
