GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON
Shot Chart Detail,1022500005,10,1629477,Sabrina Ionescu,1611661313,New York Liberty,1,9,11,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-22,21,1,1,20250517,NYL,LVA,2025-26
Shot Chart Detail,1022500005,16,1627668,Breanna Stewart,1611661313,New York Liberty,1,8,37,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,5,1,1,20250517,NYL,LVA,2025-26
Shot Chart Detail,1022500005,20,1627673,Jonquel Jones,1611661313,New York Liberty,1,8,17,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,11,1,0,20250517,NYL,LVA,2025-26
Shot Chart Detail,1022500005,24,204333,Natasha Cloud,1611661313,New York Liberty,1,7,56,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-44,16,1,0,20250517,NYL,LVA,2025-26
Shot Chart Detail,1022500005,28,1627673,Jonquel Jones,1611661313,New York Liberty,1,7,29,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,38,2,1,1,20250517,NYL,LVA,2025-26
Shot Chart Detail,1022500005,31,1630142,Leonie Fiebich,1611661313,New York Liberty,1,7,6,Missed Shot,Running Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,234,27,1,0,20250517,NYL,LVA,2025-26
Shot Chart Detail,1022500005,34,1627673,Jonquel Jones,1611661313,New York Liberty,1,6,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,57,238,1,1,20250517,NYL,LVA,2025-26
Shot Chart Detail,1022500005,38,204333,Natasha Cloud,1611661313,New York Liberty,1,6,7,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,26,-3,1,1,20250517,NYL,LVA,2025-26
Shot Chart Detail,1022500005,45,1627668,Breanna Stewart,1611661313,New York Liberty,1,5,26,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,38,112,1,0,20250517,NYL,LVA,2025-26
Shot Chart Detail,1022500005,49,1629477,Sabrina Ionescu,1611661313,New York Liberty,1,4,42,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-130,1,1,0,20250517,NYL,LVA,2025-26
Shot Chart Detail,1022500005,66,1629477,Sabrina Ionescu,1611661313,New York Liberty,1,4,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,94,267,1,0,20250517,NYL,LVA,2025-26
Shot Chart Detail,1022500005,70,1629568,Kennedy Burke,1611661313,New York Liberty,1,3,50,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-34,1,1,1,20250517,NYL,LVA,2025-26
Shot Chart Detail,1022500005,79,204333,Natasha Cloud,1611661313,New York Liberty,1,3,23,Missed Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,27,1,0,20250517,NYL,LVA,2025-26
Shot Chart Detail,1022500005,87,1629477,Sabrina Ionescu,1611661313,New York Liberty,1,2,48,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),16-24 ft.,23,23,236,1,0,20250517,NYL,LVA,2025-26
Shot Chart Detail,1022500005,97,204333,Natasha Cloud,1611661313,New York Liberty,1,2,19,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,17,90,1,0,20250517,NYL,LVA,2025-26
Shot Chart Detail,1022500005,110,1631055,Nyara Sabally,1611661313,New York Liberty,1,1,46,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-27,26,1,1,20250517,NYL,LVA,2025-26
Shot Chart Detail,1022500005,119,204333,Natasha Cloud,1611661313,New York Liberty,1,1,11,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-90,151,1,0,20250517,NYL,LVA,2025-26
Shot Chart Detail,1022500005,121,1631055,Nyara Sabally,1611661313,New York Liberty,1,1,6,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20250517,NYL,LVA,2025-26
Shot Chart Detail,1022500005,148,1629477,Sabrina Ionescu,1611661313,New York Liberty,1,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,94,274,1,0,20250517,NYL,LVA,2025-26
Shot Chart Detail,1022500005,162,1629477,Sabrina Ionescu,1611661313,New York Liberty,2,9,28,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,9,1,1,20250517,NYL,LVA,2025-26
Shot Chart Detail,1022500005,173,203822,Rebekah Gardner,1611661313,New York Liberty,2,8,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-45,237,1,0,20250517,NYL,LVA,2025-26
Shot Chart Detail,1022500005,181,1627668,Breanna Stewart,1611661313,New York Liberty,2,8,9,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,139,111,1,1,20250517,NYL,LVA,2025-26
Shot Chart Detail,1022500005,185,1627673,Jonquel Jones,1611661313,New York Liberty,2,7,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,23,74,227,1,0,20250517,NYL,LVA,2025-26
Shot Chart Detail,1022500005,197,1627673,Jonquel Jones,1611661313,New York Liberty,2,7,0,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,29,15,1,0,20250517,NYL,LVA,2025-26
